 sku,image_urls
54613-RB,https://media.deltafaucet.com/elvis/OnWhite/lg/54613-RB-B1.png
54613-SS,https://media.deltafaucet.com/elvis/OnWhite/lg/54613-SS-B1.png
55011,https://media.deltafaucet.com/elvis/OnWhite/lg/55011-B1.png
55013,https://media.deltafaucet.com/elvis/OnWhite/lg/55013-B1.png
55013-CZ,https://media.deltafaucet.com/elvis/OnWhite/lg/55013-CZ-B1.png
55013-RB,https://media.deltafaucet.com/elvis/OnWhite/lg/55013-RB-B1.png
55013-SS,https://media.deltafaucet.com/elvis/OnWhite/lg/55013-SS-B1.png
55020,https://media.deltafaucet.com/elvis/OnWhite/lg/55020-B1.png
55020-CZ,https://media.deltafaucet.com/elvis/OnWhite/lg/55020-CZ-B1.png
55020-RB,https://media.deltafaucet.com/elvis/OnWhite/lg/55020-RB-B1.png
55020-SS,https://media.deltafaucet.com/elvis/OnWhite/lg/55020-SS-B1.png
55021,https://media.deltafaucet.com/elvis/OnWhite/lg/55021-B1.png
55021-CZ,https://media.deltafaucet.com/elvis/OnWhite/lg/55021-CZ-B1.png
55021-RB,https://media.deltafaucet.com/elvis/OnWhite/lg/55021-RB-B1.png
55021-SS,https://media.deltafaucet.com/elvis/OnWhite/lg/55021-SS-B1.png
55024,https://media.deltafaucet.com/elvis/OnWhite/lg/55024-B1.png
55030,https://media.deltafaucet.com/elvis/OnWhite/lg/55030-B1.png
55044-CZ-PK,https://media.deltafaucet.com/elvis/OnWhite/lg/55044-CZ-PK-B1.png
55044-PB-PK,https://media.deltafaucet.com/elvis/OnWhite/lg/55044-PB-PK-B1.png
55044-PK,https://media.deltafaucet.com/elvis/OnWhite/lg/55044-PK-B1.png
55044-PN-PK,https://media.deltafaucet.com/elvis/OnWhite/lg/55044-PN-PK-B1.png
55044-RB-PK,https://media.deltafaucet.com/elvis/OnWhite/lg/55044-RB-PK-B1.png
55044-SS-PK,https://media.deltafaucet.com/elvis/OnWhite/lg/55044-SS-PK-B1.png
55051,https://media.deltafaucet.com/elvis/OnWhite/lg/55051-B1.png
55051-CZ,https://media.deltafaucet.com/elvis/OnWhite/lg/55051-CZ-B1.png
55051-PN,https://media.deltafaucet.com/elvis/OnWhite/lg/55051-PN-B1.png
55051-RB,https://media.deltafaucet.com/elvis/OnWhite/lg/55051-RB-B1.png
55051-SS,https://media.deltafaucet.com/elvis/OnWhite/lg/55051-SS-B1.png
55083,https://media.deltafaucet.com/elvis/OnWhite/lg/55083-B1.png
55083-PB,https://media.deltafaucet.com/elvis/OnWhite/lg/55083-PB-B1.png
55083-RB,https://media.deltafaucet.com/elvis/OnWhite/lg/55083-RB-B1.png
55083-SS,https://media.deltafaucet.com/elvis/OnWhite/lg/55083-SS-B1.png
55085,https://media.deltafaucet.com/elvis/OnWhite/lg/55085-B1.png
55085-CZ,https://media.deltafaucet.com/elvis/OnWhite/lg/55085-CZ-B1.png
55085-RB,https://media.deltafaucet.com/elvis/OnWhite/lg/55085-RB-B1.png
55085-SS,https://media.deltafaucet.com/elvis/OnWhite/lg/55085-SS-B1.png
55140,https://media.deltafaucet.com/elvis/OnWhite/lg/55140-B1.png
55140-PN,https://media.deltafaucet.com/elvis/OnWhite/lg/55140-PN-B1.png
55140-SS,https://media.deltafaucet.com/elvis/OnWhite/lg/55140-SS-B1.png
55411,https://media.deltafaucet.com/elvis/OnWhite/lg/55411-B1.png
55411-CZ,https://media.deltafaucet.com/elvis/OnWhite/lg/55411-CZ-B1.png
